txn_id,user_id,recipient_id,amount,txn_type,timestamp,device_id,location_latlon,label,user_amount_mean,user_amount_std,amount_zscore,time_since_last,is_new_recipient,is_new_device,hour
t7953,u0000,u0393,13281.83,p2p,2025-05-21 20:47:04.061378,19deff69-3854-439d-904f-ff453f0b41da,"11.655076,103.802138",0,28859.464516129032,21763.409645278753,-0.7157717825482538,0.0,1,1,20
t8576,u0000,u0328,57214.81,merchant,2025-05-23 17:54:48.061378,c66b5dcb-9d1d-4de5-80bf-e0bc9bb51703,"10.572012,103.360943",0,28859.464516129032,21763.409645278753,1.3028907669356045,162464.0,1,1,17
t4686,u0000,u0399,9309.12,topup,2025-05-24 19:14:12.061378,b8959849-5b5d-4da9-8f3b-2aaf042e042b,"11.816273,102.790305",0,28859.464516129032,21763.409645278753,-0.8983125730195584,91164.0,1,1,19
t10169,u0000,u0032,13172.09,topup,2025-05-26 01:42:27.061378,481756b1-b7e3-4207-ade3-5c32311b938c,"11.570855,103.891664",0,28859.464516129032,21763.409645278753,-0.7208141909662659,109695.0,1,1,1
t4857,u0000,u0151,33490.3,topup,2025-05-27 04:17:33.061378,30c00a2b-3adf-49a0-b003-be74e3872a67,"12.977715,103.956336",0,28859.464516129032,21763.409645278753,0.21278078937762226,95706.0,1,1,4
t17714,u0000,u0278,28624.74,p2p,2025-05-28 01:23:06.061378,52923042-8d10-424c-8806-d3442b176a34,"12.587033,102.786466",0,28859.464516129032,21763.409645278753,-0.010785282267567399,75933.0,1,1,1
t7136,u0000,u0224,59358.81,p2p,2025-05-29 09:04:13.061378,cdc5849e-ffae-4652-9e22-3802816e246c,"11.833218,105.975087",0,28859.464516129032,21763.409645278753,1.4014047422246332,114067.0,1,1,9
t13804,u0000,u0111,32082.88,topup,2025-05-30 16:07:54.061378,54af0287-4368-40c7-8ac6-254a126fa1dd,"13.437276,103.333094",0,28859.464516129032,21763.409645278753,0.1481116946475453,111821.0,1,1,16
t11611,u0000,u0284,27453.34,p2p,2025-05-31 11:32:48.061378,19b33e19-fca6-4300-bee9-d7d0846c3f39,"12.588302,105.250413",0,28859.464516129032,21763.409645278753,-0.0646095689530004,69894.0,1,1,11
t15953,u0000,u0376,20978.08,merchant,2025-05-31 11:50:26.061378,f5153f4d-243f-41c0-a70f-e6ddab6bcf27,"13.560802,103.1114",0,28859.464516129032,21763.409645278753,-0.36213923482521865,1058.0,1,1,11
t3860,u0000,u0449,11533.96,p2p,2025-06-01 09:22:09.061378,2742aa56-1661-4293-8c25-48a56034467a,"10.59507,102.563608",0,28859.464516129032,21763.409645278753,-0.7960841062368893,77503.0,1,1,9
t8937,u0000,u0216,9944.06,topup,2025-06-07 16:19:46.061378,a2feb5cb-341e-455d-873b-1e4e026ff933,"11.670275,104.489143",0,28859.464516129032,21763.409645278753,-0.8691379165503347,543457.0,1,1,16
t1046,u0000,u0360,37217.52,topup,2025-06-08 06:09:34.061378,eb863579-44c7-43c0-894d-0797d84fea98,"13.155993,105.529879",0,28859.464516129032,21763.409645278753,0.38404163778096784,49788.0,1,1,6
t9079,u0000,u0298,5833.94,p2p,2025-06-10 00:05:10.061378,70402e54-885e-4e86-95d3-79f50bf2cbb2,"12.49789,105.182937",0,28859.464516129032,21763.409645278753,-1.057992515484543,150936.0,1,1,0
t8198,u0000,u0130,20127.3,merchant,2025-06-12 01:21:38.061378,e651b9e5-a2b9-44ef-a3ee-0b5502bc8638,"13.574038,105.6044",0,28859.464516129032,21763.409645278753,-0.4012314549261515,177388.0,1,1,1
t14538,u0000,u0449,48357.12,p2p,2025-06-12 09:25:01.061378,2af8025d-13b5-4b1a-96c8-0b3a49ec3ac5,"11.318739,104.136112",0,28859.464516129032,21763.409645278753,0.8958915814048787,29003.0,1,1,9
t3356,u0000,u0312,13090.33,p2p,2025-06-13 08:00:02.061378,75b0a885-c891-411e-9db4-db924afb0a63,"12.983239,105.933692",0,28859.464516129032,21763.409645278753,-0.7245709552478102,81301.0,1,1,8
t997,u0000,u0060,20032.09,p2p,2025-06-13 09:14:24.061378,f5ffd46c-8b03-4452-8a97-5977e68a6a32,"12.949544,105.081139",0,28859.464516129032,21763.409645278753,-0.4056062289873774,4462.0,1,1,9
t12845,u0000,u0448,64805.04,topup,2025-06-13 18:08:51.061378,18b34e2d-7fa1-43bc-8e67-bdec231221b2,"11.053027,105.158274",0,28859.464516129032,21763.409645278753,1.6516518353395433,32067.0,1,1,18
t11891,u0000,u0168,5893.5,topup,2025-06-14 02:10:31.061378,46b50c8b-874a-460f-92e2-f759a3ae0465,"12.45289,105.999913",0,28859.464516129032,21763.409645278753,-1.055255811954592,28900.0,1,1,2
t17970,u0000,u0206,33790.41,merchant,2025-06-14 02:22:45.061378,49a641c9-074b-45cf-871b-92dabaa22c23,"10.889036,103.545559",0,28859.464516129032,21763.409645278753,0.2265704484839611,734.0,1,1,2
t6223,u0000,u0205,24885.88,p2p,2025-06-15 08:27:02.061378,cb1b402d-f0fb-4225-8858-85423c00d03b,"13.505737,105.078375",0,28859.464516129032,21763.409645278753,-0.18258097333526233,108257.0,1,1,8
t9238,u0000,u0271,26239.9,merchant,2025-06-16 12:27:19.061378,277a6d08-8d5a-4f14-a4e9-b6db7762c9aa,"13.496521,104.110139",0,28859.464516129032,21763.409645278753,-0.12036553825091033,100817.0,1,1,12
t15349,u0000,u0483,13196.2,topup,2025-06-16 15:53:32.061378,9bedc3d5-9c17-41c0-ab13-a8e5eea0fd81,"13.383096,104.065842",0,28859.464516129032,21763.409645278753,-0.7197063682310894,12373.0,1,1,15
t19216,u0000,u0402,68876.89,p2p,2025-06-16 19:05:40.061378,4cfe0196-5a68-437d-9474-d62e8c56896a,"13.580787,104.296115",0,28859.464516129032,21763.409645278753,1.8387479781943152,11528.0,1,1,19
t18705,u0000,u0497,10010.06,topup,2025-06-16 23:28:07.061378,a943542a-db57-4647-bd46-c5f77a3b702e,"12.55025,104.38554",0,28859.464516129032,21763.409645278753,-0.8661053035050568,15747.0,1,1,23
t3434,u0000,u0027,10874.58,p2p,2025-06-17 13:48:12.061378,5fcc5d0b-db7c-4d9b-a185-29340db8169b,"12.368134,104.378291",0,28859.464516129032,21763.409645278753,-0.826381748506516,51605.0,1,1,13
t11647,u0000,u0390,31402.65,merchant,2025-06-18 01:04:39.061378,64647075-e29a-4280-9c08-4b95d4305e7f,"12.947152,103.104033",0,28859.464516129032,21763.409645278753,0.11685602234770578,40587.0,1,1,1
t12232,u0000,u0213,99398.0,topup,2025-06-18 08:16:30.061378,9cea197f-da99-43cd-b1de-f4a51dbb0566,"13.395892,105.643523",0,28859.464516129032,21763.409645278753,3.2411527712604196,25911.0,1,1,8
t17596,u0000,u0373,21292.64,merchant,2025-06-19 10:48:59.061378,a953467d-f7a0-4cf0-881d-6f73a2d83f76,"10.914198,103.746624",0,28859.464516129032,21763.409645278753,-0.34768561725669406,95549.0,1,1,10
t4277,u0000,u0033,22875.33,merchant,2025-06-20 18:17:18.061378,277a6d08-8d5a-4f14-a4e9-b6db7762c9aa,"11.12945,105.294317",0,28859.464516129032,21763.409645278753,-0.27496309694410404,113299.0,1,1,18
t6015,u0001,u0325,70207.35,p2p,2025-05-22 13:20:52.061378,1b48527e-5b0b-4993-9d72-9d7d245bedd7,"11.640607,103.47077",0,27061.85051282051,18689.15949012688,2.308584262977285,0.0,1,1,13
t3320,u0001,u0101,71207.68,topup,2025-05-22 15:18:03.061378,964dea3c-5d21-4b66-b3a0-547bdbb16038,"13.072963,103.914972",0,27061.85051282051,18689.15949012688,2.3621088744253513,7031.0,1,1,15
t4593,u0001,u0029,50622.15,topup,2025-05-22 20:52:00.061378,18f64556-193e-488d-97ce-38e7d5624f54,"12.667946,104.768109",0,27061.85051282051,18689.15949012688,1.2606398644960968,20037.0,1,1,20
t8218,u0001,u0114,52913.8,topup,2025-05-23 07:40:04.061378,48b5d53d-0c33-496c-b8ac-7420fa03ebcc,"11.084387,103.394115",0,27061.85051282051,18689.15949012688,1.38325907598127,38884.0,1,1,7
t14246,u0001,u0467,3674.28,merchant,2025-05-23 15:24:04.061378,adcb66cc-583c-486f-a07d-6ba060f43680,"11.96533,103.309317",0,27061.85051282051,18689.15949012688,-1.2513976631841421,27840.0,1,1,15
t1449,u0001,u0480,24571.05,merchant,2025-05-24 08:02:01.061378,884e2494-1ddb-4d5a-af3e-24d124805f17,"13.40403,104.013919",0,27061.85051282051,18689.15949012688,-0.13327514884424593,59877.0,1,1,8
t10529,u0001,u0468,24954.75,topup,2025-05-24 22:36:19.061378,5291fbba-745a-49bc-a970-a3880b643441,"12.902708,102.581676",0,27061.85051282051,18689.15949012688,-0.11274453053566431,52458.0,1,1,22
t19015,u0001,u0081,18104.51,merchant,2025-05-25 04:55:43.061378,146ca8eb-153b-4739-92f9-a2ca6a73f383,"11.153414,105.875411",0,27061.85051282051,18689.15949012688,-0.4792800081540586,22764.0,1,1,4
t9942,u0001,u0293,7283.59,topup,2025-05-25 12:08:28.061378,7160dc82-48b9-4ca1-81d1-259d4cf19c27,"13.185187,104.498973",0,27061.85051282051,18689.15949012688,-1.0582744784894678,25965.0,1,1,12
