txn_id,user_id,recipient_id,amount,txn_type,timestamp,device_id,location_latlon,label
t0,u0327,u0057,35905.19,p2p,2025-06-04T04:02:29.061378,e4c2bad1-e976-41aa-9ab7-46464704314b,"11.114274,105.077649",0
t1,u0346,u0379,22416.97,topup,2025-05-26T00:54:00.061378,fc94296d-e9df-4b6f-a8b1-cb24d1e220af,"11.75015,102.60429",0
t2,u0111,u0119,69745.72,topup,2025-06-20T01:00:42.061378,15a89b30-3a7e-419a-ae3d-d395a7531994,"12.195984,105.006069",0
t3,u0359,u0279,43000.59,merchant,2025-06-01T12:26:27.061378,02aa1740-b240-492c-844d-45a4f8b66642,"12.28565,105.333007",0
t4,u0003,u0388,17056.91,p2p,2025-06-11T07:59:26.061378,83ed0532-e8b8-462f-8e4d-4b95ce9d2972,"11.289188,103.253598",0
t5,u0390,u0172,17022.23,p2p,2025-05-26T07:39:57.061378,23b57574-0453-46e2-8e0e-4693621acf1f,"10.709492,105.46623",0
t6,u0309,u0135,10068.63,p2p,2025-06-13T02:52:40.061378,fba5b3a1-63eb-415d-9479-7a48476e1638,"10.799444,105.728034",0
t7,u0040,u0282,31592.48,merchant,2025-06-08T08:56:40.061378,8b6b7bab-885b-43d9-8ffc-1c12fe36b776,"11.015323,102.743443",0
t8,u0338,u0116,26330.61,merchant,2025-05-25T16:34:24.061378,91cbd268-aec7-4bdf-81ad-6e1435cab0b2,"11.144931,102.853505",0
t9,u0142,u0232,6314.84,topup,2025-06-08T12:40:10.061378,d684fee2-476a-4bae-b920-1b6e768d33ee,"11.584579,103.233275",0
t10,u0136,u0359,15079.27,topup,2025-05-25T06:47:56.061378,2af98cdf-67d9-4da8-a2b8-21b1d0a8638b,"12.431931,104.36949",0
t11,u0125,u0083,19766.12,merchant,2025-06-09T05:42:24.061378,51ffbf76-8302-4d94-a64b-4f1043614939,"13.566475,104.739999",0
t12,u0285,u0112,44550.9,topup,2025-06-06T13:25:33.061378,5816afc7-40d7-415a-8447-00594dbb1841,"12.858603,102.695783",0
t13,u0420,u0016,8027.72,merchant,2025-06-10T07:00:00.061378,a76bd44a-0f28-4bdc-a2ab-a89dd26629b2,"10.611804,105.695976",0
t14,u0290,u0448,42200.31,topup,2025-06-06T02:14:07.061378,bda4d521-7c21-45ff-adcb-ceec5bd7a23f,"12.497404,103.884712",0
t15,u0468,u0329,28467.53,merchant,2025-05-28T18:03:59.061378,f85f993c-9c72-4548-adff-97046a1cd078,"10.846817,105.107461",0
t16,u0275,u0134,5907.81,topup,2025-06-19T04:42:04.061378,586a98aa-0963-472a-b57a-8f4c4b8ab4cc,"13.273033,103.897902",0
t17,u0112,u0070,13490.64,topup,2025-06-14T18:35:48.061378,5d3d263e-12fe-40b9-ba91-b67094592353,"12.818503,105.51386",0
t18,u0078,u0321,31815.66,p2p,2025-06-11T07:27:40.061378,ce6836ed-38a2-4591-ae53-45f7b44ade7a,"10.603289,103.835668",0
t19,u0239,u0270,18259.78,merchant,2025-06-17T16:09:50.061378,eac21dff-d419-4a16-9d07-12b369832bce,"13.415779,104.880992",0
t20,u0058,u0349,50751.63,topup,2025-06-03T18:28:58.061378,12bd0a8e-606e-467b-9a9a-5afca2871202,"12.451078,102.890433",0
t21,u0222,u0080,47718.15,merchant,2025-05-21T23:23:24.061378,106d1512-3ee3-4330-ac4b-b6c300ad6067,"12.710695,105.018882",0
t22,u0497,u0256,31979.21,p2p,2025-06-15T11:06:04.061378,94c895c3-43fa-4360-8cf7-ec271b6acc2b,"10.740515,104.688551",0
t23,u0430,u0327,49049.32,topup,2025-06-20T09:06:39.061378,f9389c3c-02b3-4d12-9a05-613610cf5033,"10.889086,105.168788",0
t24,u0276,u0488,44266.33,topup,2025-05-21T20:16:31.061378,3d4c95a8-4c96-40ef-ae2b-f70b6c500f24,"11.437299,102.568169",0
t25,u0475,u0185,61533.94,merchant,2025-06-02T10:35:28.061378,9e4503cb-510a-4764-8668-4e89bb721ff1,"11.170789,104.485749",0
t26,u0040,u0043,32671.74,topup,2025-06-14T09:49:44.061378,146ca8eb-153b-4739-92f9-a2ca6a73f383,"10.62148,105.162108",0
t27,u0392,u0064,68177.41,p2p,2025-06-13T21:21:11.061378,3f5dfa6c-49d5-4ab6-b18d-1435c41d9378,"12.159371,103.427698",0
t28,u0446,u0310,26723.83,merchant,2025-06-01T02:22:19.061378,fc673b92-c28c-4aa6-a470-1f0559bea773,"12.125747,105.054759",0
t29,u0102,u0365,19645.27,merchant,2025-06-10T04:28:07.061378,e86ef3b2-a69b-4077-9ab2-6599bed0064c,"12.47961,104.03335",0
t30,u0264,u0231,65929.25,p2p,2025-06-02T20:26:24.061378,e67c0695-a432-4a39-9bb8-a1474da64f8b,"10.604883,102.57362",0
t31,u0283,u0117,16246.85,topup,2025-06-01T12:10:51.061378,543040fd-9fd6-4d9b-8b31-e525bc97c0d4,"10.627178,104.70886",0
t32,u0117,u0034,47246.59,p2p,2025-06-06T20:35:10.061378,f9ac94e7-6cee-40be-a645-d9b45acc703e,"12.0453,103.47467",0
t33,u0248,u0109,31921.91,topup,2025-05-28T05:45:49.061378,95e046e4-0bd2-48cf-9a1d-1943644a6aad,"13.393646,104.498651",0
t34,u0242,u0124,13720.29,merchant,2025-06-10T13:52:06.061378,942ec3af-0fc6-44c2-85e9-a44303217023,"10.701843,104.80644",0
