Dataset,Model,AUC Score,Accuracy,Precision,Recall,F1 Score
Small (5K),XGBoost,0.9356122448979591,0.994,1.0,0.7,0.8235294117647058
Small (5K),Random Forest,0.9490816326530613,0.994,1.0,0.7,0.8235294117647058
Small (5K),Logistic Regression,0.8847448979591837,0.993,1.0,0.65,0.7878787878787878
Realistic (75K),XGBoost,0.9659807898920025,0.9933333333333333,0.9215686274509803,0.6911764705882353,0.7899159663865546
Realistic (75K),Random Forest,0.9771569809007252,0.9941333333333333,0.9423076923076923,0.7205882352941176,0.8166666666666667
Realistic (75K),Logistic Regression,0.93509586581781,0.99,0.9919354838709677,0.4522058823529412,0.6212121212121212
High Volume (150K),XGBoost,0.9612919756390061,0.9942333333333333,0.8426966292134831,0.6320224719101124,0.7223113964686998
High Volume (150K),Random Forest,0.9703394134743526,0.9963,0.9422382671480144,0.7331460674157303,0.8246445497630331
High Volume (150K),Logistic Regression,0.9427415063244887,0.9943666666666666,0.9947089947089947,0.5280898876404494,0.689908256880734
High Fraud Test,XGBoost,0.9450606887740287,0.968,0.9202453987730062,0.746268656716418,0.8241758241758241
High Fraud Test,Random Forest,0.952397545347194,0.968,0.9419354838709677,0.7263681592039801,0.8202247191011236
High Fraud Test,Logistic Regression,0.9297232569780337,0.9535,0.9426229508196722,0.572139303482587,0.7120743034055728
Low Fraud Realistic,XGBoost,0.9307119039769994,0.9961666666666666,0.7857142857142857,0.3548387096774194,0.4888888888888889
Low Fraud Realistic,Random Forest,0.9488080891055399,0.9976666666666667,0.9473684210526315,0.5806451612903226,0.72
Low Fraud Realistic,Logistic Regression,0.9608785175017158,0.997,1.0,0.41935483870967744,0.5909090909090909
Sparse Users,XGBoost,0.9437925170068027,0.9916666666666667,0.926829268292683,0.6333333333333333,0.7524752475247525
Sparse Users,Random Forest,0.9652834467120182,0.9926666666666667,1.0,0.6333333333333333,0.7755102040816326
Sparse Users,Logistic Regression,0.9404818594104308,0.9896666666666667,1.0,0.48333333333333334,0.651685393258427
